jobs,infra,divide_strategy,rt_mean_net
4,gg-lambda,largest-interval,2640.8590355237325
4,gg-local,largest-interval,2569.891183945338
4,thread,largest-interval,2771.256915171941
8,gg-lambda,largest-interval,1600.867717669805
8,gg-local,largest-interval,1564.376966547966
8,thread,largest-interval,1706.0707844575245
16,gg-lambda,largest-interval,852.4091854135196
16,gg-local,largest-interval,821.9227124849956
16,thread,largest-interval,927.3625839630763
32,gg-lambda,largest-interval,406.9823169708252
64,gg-lambda,largest-interval,231.9777097940445
128,gg-lambda,largest-interval,121.74979977607727
256,gg-lambda,largest-interval,94.2789520184199
512,gg-lambda,largest-interval,61.76680500507355
1000,gg-lambda,largest-interval,71.64972502390543
