jobs,infra,divide_strategy,rt_mean_net
4,gg-lambda,split-relu,1239.960148135821
4,gg-local,split-relu,1158.1679789653192
4,thread,split-relu,1175.6512625034038
8,gg-lambda,split-relu,1040.6966796159745
8,gg-local,split-relu,919.2961266040802
8,thread,split-relu,906.470953629567
16,gg-lambda,split-relu,700.5815837144852
16,gg-local,split-relu,581.1537584708287
16,thread,split-relu,714.0352456386273
32,gg-lambda,split-relu,710.8957812786102
64,gg-lambda,split-relu,640.1468844652176
128,gg-lambda,split-relu,709.3094293594361
256,gg-lambda,split-relu,658.1640370845795
512,gg-lambda,split-relu,586.7274059057236
